id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
915590134013635024,Home in Enskede-Årsta-Vantör · ★5.0 · 4 bedrooms · 8 beds · 2.5 baths,467725010,Gerard,,Enskede-Årsta-Vantörs,59.280736,18.0775566,Entire home/apt,2200,7,3,2023-12-08,0.66,1,343,3,
915646228359583757,Rental unit in Hägersten-Liljeholmen · ★5.0 · 1 bedroom · 1 bed · 1 bath,63282571,Tine,,Hägersten-Liljeholmens,59.289038575771414,17.967135210518574,Entire home/apt,699,2,6,2023-09-24,1.08,1,117,6,
915742734078065114,Rental unit in Farsta distrikt · 1 bedroom · 1 bed · 1.5 baths,4192430,Trond,,Farsta,59.24941,18.09477,Entire home/apt,,1,2,2023-12-17,0.34,2,0,2,
915783335537547666,Rental unit in Södermalm · 4 bedrooms · 4 beds · 2 baths,54618559,Victoria,,Södermalms,59.3103881692139,18.074110208690982,Entire home/apt,5172,1,2,2023-09-10,0.49,1,171,2,
915864328067535304,Rental unit in Södermalm · 2 bedrooms · 2 beds · 1 bath,401146137,Therese,,Södermalms,59.3159104,18.0762553,Entire home/apt,1500,99,1,2023-08-26,0.24,1,166,1,
915977907528290916,Rental unit in Norrmalm · ★4.80 · 1 bedroom · 1 bed · 1 bath,436878033,Pernilla,,Norrmalms,59.34541841560693,18.057227169897644,Entire home/apt,1050,5,5,2023-08-25,0.94,1,0,5,
916323101219927752,Home in Hägersten-Liljeholmen · 4 bedrooms · 5 beds · 2.5 baths,520595727,Sebastian,,Hägersten-Liljeholmens,59.296189666457764,17.951463849805673,Entire home/apt,2500,3,1,2023-08-10,0.21,1,13,1,
916336637241602678,Rental unit in Södermalm · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,29159393,Bea,,Södermalms,59.31475829999999,18.0768338,Entire home/apt,,3,6,2023-11-19,1.07,1,0,6,
916361225905750884,Rental unit in Södermalm · ★5.0 · 1 bedroom · 2 beds · 1 bath,49318037,Calle,,Södermalms,59.3121315535472,18.06821711558825,Entire home/apt,,2,4,2023-09-17,0.67,1,0,4,
916389605080291513,Rental unit in Norrmalm · ★5.0 · 2 bedrooms · 2 beds · 2 baths,252601144,Jenny,,Norrmalms,59.337373570229786,18.058387961907496,Entire home/apt,2800,5,3,2023-08-06,0.56,1,68,3,
916390324387038825,Rental unit in Enskede-Årsta-Vantör · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,260974032,Billie,,Enskede-Årsta-Vantörs,59.29369,18.08705,Entire home/apt,1143,2,7,2023-12-10,1.26,1,1,7,
916489872224293410,Rental unit in Hägersten-Liljeholmen · 2 bedrooms · 2 beds · 3 baths,69598972,Caroline,,Hägersten-Liljeholmens,59.3028489446637,18.03097213643157,Entire home/apt,1957,2,2,2023-09-25,0.41,1,332,2,
